,food,paired_wine,pairing_text
0,steak,"['merlot', 'cabernet sauvignon', 'pinot noir']","Steak on the menu? Try pairing with Merlot, Cabernet Sauvignon, and Pinot Noir. After all, beef and red wine are a classic combination. Generally, leaner steaks go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier steaks can handle a bold red, such as cabernet sauvingnon. One wine you could try is Franciscan Estate Merlot. It has 4.3 out of 5 stars and a bottle costs about 25 dollars."
1,Hamburger,"['malbec', 'merlot', 'zinfandel']","Malbec, Merlot, and Zinfandel are great choices for Burger. Merlot will be perfectly adequate for a classic burger with standard toppings. Bolder toppings call for bolder wines, such as a malbec or peppery zinfandel. You could try Tikal Amorio Malbec. Reviewers quite like it with a 4.2 out of 5 star rating and a price of about 28 dollars per bottle."
2,pizza,"['sangiovese', 'barbera wine', 'shiraz']","Sangiovese, Barbera Wine, and Shiraz are my top picks for Pizza. The best wine for pizza depends on the toppings! Red sauce pizza will call for a red wine with some acidity, such as a barberan or sangiovese. Add pepperoni or sausage and you can go bolder with a syrah. You could try Hills Vineyard Rosato di Sangiovese. Reviewers quite like it with a 5 out of 5 star rating and a price of about 15 dollars per bottle."
3,tuna,"['merlot', 'pinot noir', 'rose wine']","Merlot, Pinot Noir, and rosé Wine are great choices for Tuna. Though fish is often paired with white wine, 'meatier' fish like tuna can absolutely go with red wine. A Rosé will also pair nicely, particularly if your tunan is prepared with ingredients better suited to a white wine. One wine you could try is Robert Mondavi Napa Merlot. It has 4 out of 5 stars and a bottle costs about 30 dollars."
4,pork,"['malbec', 'pinot noir', 'sangiovese']","Pork works well with red and white wine, depending on the flavors of the dish. Salty pork, such as ham or bacon, can be paired with fruity, acidic white wine like riesling. Spicy pork dishes can be enjoyed with a spicy, silghtly sweet Gewürztraminer. Fatty pork cuts or pork ribs both go well with a red zinfandel. We may be able to make a better recommendation if you ask again with a specific cut of pork or pork dish."
5,tacos,"['pinot noir', 'riesling', 'sparkling rose']","Tacos works really well with Pinot Noir, Riesling, and Sparkling rosé. Acidic white wines like riesling or low-tannin reds like pinot noir can work well with Mexican dishes. Sparkling rosé is a safe pairing too. The Garnet Monterey Pinot Noir with a 4.2 out of 5 star rating seems like a good match. It costs about 16 dollars per bottle."
6,mexican,"['riesling', 'sparkling rose', 'pinot noir']","Mexican can be paired with Riesling, Sparkling rosé, and Pinot Noir. Acidic white wines like riesling or low-tannin reds like pinot noir can work well with Mexican dishes. Sparkling rosé is a safe pairing too. One wine you could try is Eroica Riesling. It has 4.2 out of 5 stars and a bottle costs about 24 dollars."
7,chinese,"['chenin blanc', 'gewurztraminer', 'riesling']","Chinese works really well with Chenin Blanc, Gewurztraminer, and Riesling. The best wine for Asian food depends on the cuisine and dish - of course - but these acidic whites pair with a number of traditional meals, spicy or not. One wine you could try is L'Ecole 41 Chenin Blanc. It has 4.4 out of 5 stars and a bottle costs about 18 dollars."
8,fajitas,"['pinot noir', 'riesling', 'sparkling rose']","Fajitas on the menu? Try pairing with Pinot Noir, Riesling, and Sparkling rosé. Acidic white wines like riesling or low-tannin reds like pinot noir can work well with Mexican dishes. Sparkling rosé is a safe pairing too. The Mark West Black Label Monterey County Pinot Noir with a 4.1 out of 5 star rating seems like a good match. It costs about 13 dollars per bottle."
9,salmon,"['chardonnay', 'pinot noir', 'sauvignon blanc']","Chardonnay, Pinot Noir, and Sauvignon Blanc are my top picks for Salmon. To decide on white or red, you should consider your seasoning and sauces. Chardonnay is a great friend to buttery, creamy dishes, while sauvignon blanc can complement herb or citrus-centric dishes. A light-bodied, low-tannin red such as the pinot noir goes great with broiled or grilled salmon. The NV Mindbender Chardonnay with a 4.4 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
